lon,lat
128.147331960645,37.17156278668694
128.24479862874682,37.09784046286478
128.22526075736144,37.08164234011186
127.9736119375887,37.10817925123605
128.16869215088838,37.05328866552937
128.1700849520055,37.05392940368468
128.20427843244465,37.04833156140552
128.03287941254257,37.15402633950664
128.04492423209396,37.15735999425589
128.28628011076495,37.130061265111735
128.29155257077173,37.121655742458024
128.2771911164867,37.136460239080634
128.27726345200728,37.13462181865811
128.21335746298843,37.2550282772035
128.2283850556543,37.24719500067905
128.22878452494385,37.247197603203965
128.15507057904952,37.10889917177884
128.22771297273,37.025417785960904
128.1505516710323,37.14121801236061
128.14456741620492,37.13643363941678
128.11126594288564,37.14880810971701
128.14046075012425,37.11800644254083
128.1315653782085,37.094865818027124
128.0681049187777,37.120136896167274
128.0503489200851,37.09549613941144
128.07054825927645,37.09566520385617
128.06917159673029,37.09578060046984
128.14422589104544,37.13556583522474
128.22771297273,37.025417785960904
128.05688089054442,37.08922949127182
128.05807075221512,37.089031627401894
128.05782492654077,37.090066279680876
128.11066071475983,37.12708001662863
128.22771297273,37.025417785960904
128.27398007901044,37.15895760428438
128.17892768173454,37.04745571748952
128.17921407542178,37.04696192366012
128.061478322139,37.08392969903899
128.1339025500227,37.1015803113206
128.08507574663594,37.137287365014856
128.13474654598227,37.10304673981727
128.13413812255703,37.02997445541349
128.03287941254257,37.15402633950664
128.04492423209396,37.15735999425589
128.21111960023757,37.08433446609287
128.21268421399057,37.10887208953004
128.22771297273,37.025417785960904
128.15235181057295,37.038966832159105
128.1922682949168,37.02291168583503
128.16041051035384,37.0363559582735
128.11605848885483,37.05616222166777
128.16574504798905,37.06096599980771
127.97203892035847,37.18569339705014
127.98306044271831,37.18083545342923
