재해명,발생일자,종료일자,피해구분,국_사구분,주소,Latitude,Longitude,피해구역,피해면적(ha),데이터최종일자
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍구곡리산131-1,37.0972954,128.1011313,제천시 봉양읍 구곡리 산131-1 외 2필지,2.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산60-1,37.0990503,128.1575909,제천시 봉양읍 삼거리 산64-1,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산64-1,37.096311,128.1589295,제천시 봉양읍 연박리 산75번지 외 1개소,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산126,37.1024759,128.1334285,제천시 봉양읍 삼거리 산39,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산39,37.1175311,128.1537434,제천시 봉양읍 장평리 산90-4 외 3필지,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산33,37.1154061,128.1557817,제천시 봉양읍 삼거리 산33 외 2필지,0.6,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산196,37.1057386,128.1254767,제천시 봉양읍 삼거리 산196 외 3필지,0.7,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산32-1,37.1135514,128.158667,제천시 봉양읍 삼거리 산32-1외 1필지,0.9,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산42-1,37.1103575,128.1531786,제천시 삼거리 산42-1 외 1필,0.8,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산231-1,37.0797806,128.1355344,제천시 봉양읍 삼거리 산231-1,1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산42,37.111411,128.1531831,제천시 봉양읍 삼거리 산42번지 외 1필지,1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산228,37.0828806,128.1355619,제천시 봉양읍 삼거리 산228,1.2,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍삼거리산106-3,37.0928921,128.1400472,제천시 봉양읍 삼거리 산106-3 외 1필지,2.6,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍연박리산75,37.1175733,128.1283941,제천시 봉양읍 삼거리 산60-1,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍연박리산58-1,37.1158277,128.1189147,제천시 봉양읍 연박리 산58-1 외 1필지,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍연박리산142,37.1228337,128.1019977,제천시 봉양읍 연박리 산142,1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,지자체소유림,충청북도제천시봉양읍옥전리산81-1,37.1750844,128.0734641,제천시 봉양읍옥전리 산81-1번지,2.2,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍옥전리산81-1,37.1750844,128.0734641,제천시 봉양읍 옥전리 산81-1,2.2,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍원박리산176,37.127415,128.0755788,제천시 봉양읍 원박리 산176번지 외 2필지,0.75,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍원박리산146,37.1179034,128.0742412,제천시 봉양읍 원박리 산146번지 외 3필지,1.3,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍장평리산90-4,37.1268763,128.132915,제천시 봉양읍 삼거리 산126,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시봉양읍장평리산101-1,37.1215486,128.1387319,제천시 봉양읍 장평리 산101-1,0.9,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시산곡동산14,37.1015475,128.2081194,제천시 산곡동 산14번지 외 4개소,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시송학면무도리산74-2,37.1590568,128.2560858,제천시 송학면 무도리 산74-2 번지 외 1개소,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시송학면송한리산60,37.2114324,128.2031195,제천시 송학면 송한리 산60 외 2개소,2.5,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시송학면오미리산27-1,37.2362476,128.2013022,제천시 송학면 오미리 산27-1 외 2개소,0.63,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시송학면오미리산40,37.2093138,128.1935693,"제천시 송학면 오미리 산40, 산32-1 번지(오미임도)",3.1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시신동산37-1,37.0247222,128.2266667,제천시 신동 산37-1번지 외 5개소,0.7,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시신동산19,37.0247222,128.2266667,제천시 신동 산19번지 외 1개소,3.1,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시청풍면부산리산25,37.0093336,128.1445862,제천시 청풍면 부산리 산25번지 외 3개소,0.35,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시청풍면장선리산7-1,37.0578073,128.1011118,제천시 청풍면 장선리 산7-1번지 외 2개소,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시청풍면장선리산8,37.0596965,128.1006302,제천시 청풍면 장선리 산8,0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,산사태,사유림,충청북도제천시청풍면황석리산54-1,37.0439405,128.1384146,제천시 청풍면 황석리 산54-1,0.5,2022-07-25
집중호우,2020-07-28,2020-08-11,임도,지자체소유림,충청북도제천시모산동산2-1,37.0247222,128.2266667,제천시 모산동 산2-1번지(모산임도),0.1,2022-07-25
집중호우,2020-07-28,2020-08-11,임도,지자체소유림,충청북도제천시백운면평동리산71,37.1527889,128.0531058,제천시 백운면 평동리 산 71번지(평동임도),0.4,2022-07-25
집중호우,2020-07-28,2020-08-11,임도,지자체소유림,충청북도제천시봉양읍미당리산33-1,37.1810412,128.169318,제천시 봉양읍 미당리 산33-1번지(미당임도),0.1,2022-07-25
집중호우,2020-07-28,2020-08-11,임도,사유림,충청북도제천시봉양읍삼거리산231-1,37.0797806,128.1355344,제천시 봉양읍 삼거리 산 231-1번지(삼거리임도),0.6,2022-07-25
집중호우,2020-07-28,2020-08-11,임도,지자체소유림,충청북도제천시송학면오미리산40,37.2093138,128.1935693,"제천시 송학면 오미리 산40, 산32-1",0.2,2022-07-25
집중호우,2020-07-28,2020-08-11,산림청기타,지방관리,충청북도제천시장락동,37.1485043,128.2286904,제천시 도시숲,1,2022-07-25
